index,series,spread,strike,vol
main,44,60,45,0.52
main,44,60,50,0.47
main,44,60,55,0.43
main,44,60,60,0.40
main,44,60,65,0.38
main,44,60,70,0.36
main,44,60,75,0.35
cdxig,43,55,40,0.55
cdxig,43,55,45,0.51
cdxig,43,55,50,0.47
cdxig,43,55,55,0.44
cdxig,43,55,60,0.42
cdxig,43,55,65,0.40
cdxig,43,55,70,0.39
xover,44,320,280,0.38
xover,44,320,300,0.35
xover,44,320,320,0.33
xover,44,320,340,0.31
xover,44,320,360,0.30
cdxhy,20,350,300,0.36
cdxhy,20,350,325,0.34
cdxhy,20,350,350,0.32
cdxhy,20,350,375,0.30
cdxhy,20,350,400,0.29
snrfin,44,65,50,0.50
snrfin,44,65,55,0.46
snrfin,44,65,60,0.43
snrfin,44,65,65,0.40
snrfin,44,65,70,0.38
snrfin,44,65,75,0.36
